itemname,item_freq,wordroot,root_freq,focus,wordclass,variant,modified
sqapah,1,qapah,15,主事焦點,,,False
skwalis,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mlehe,2,mlehe,2,,名詞,,False
skcuro,2,skcuro,2,,動詞,,False
qbriqi,1,qberiq,7,受事焦點,,,False
spgkaalang,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
rnwaqan,1,rawiq,10,處所焦點,,,False
snddiyan,1,diyan,21,,其它,,False
mtara,16,tara,43,主事焦點,,,False
staring,4,staring,4,,動詞,,False
sqquyux,2,quyux,84,主事焦點,,,False
hrenang,17,hrenang,40,,多重詞性,,False
snluhe,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
gamil,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
lwaqi,2,liwaq,7,受事焦點,,,False
knusiyang,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
bqeri,1,bqeri,1,,名詞,,False
gukun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
glui,1,gaalu,38,受事焦點,,,False
ecu,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sdrapi,1,sdurak,22,受事焦點,,,False
hrui,4,hiru,29,受事焦點,,,False
hnwayan,1,huwa,297,處所焦點,,hnwayan,True
tnaalang,5,alang,358,名詞性標記,,tnalang; tng-alang,False
sujyo,2,sujyo,2,,名詞,,False
pnguwan,2,pungu,22,處所焦點,,,False
daruk,1,daruk,1,,名詞,,False
phengan,1,pehing,14,處所焦點,,,False
mkmalu,3,malu,356,主事焦點,,,False
mtaapa,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mslamaq,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pnuglaan,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
jkokuming,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sdrai,1,dara2,47,受事焦點,,,False
cchngiyan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
taykang,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
